# labjack output summary file
# Data taken with Mag690-FL1000 #410, 
# SCM is really solenoid center, testing unsymm solenoid, 
# solenoid I=0.051 A, V=0.029 V. 
# Saddle offset by 1cm, V=0.040, I=0.019
# Settings:
#   DEVICE_TYPE:              T7
#   CONNECTION_TYPE:          USB
#   IP:                       ANY
#   l_out:                    92.7
#   l_scm:                    22.35
#   FG number:                [410, 409]
#   FG type:                	[1000, 1000]
#   B0coil Current:           None
#   SCMcoil Current:          None
#   SCMcoil Voltage:          None
#   Saddlecoil Current:       0.019
#   Solenoidcoil Current:     0.029
#   STREAM_TRIGGER_INDEX:     0
#   STREAM_CLOCK_SOURCE:      0
#   STREAM_RESOLUTION_INDEX:  0
#   STREAM_SETTLING_US:       0
#   AIN_ALL_RANGE:            0
#   AIN_ALL_NEGATIVE_CH:      199
# Scan rate of last read:    100 Hz
#
# File started at 2023-05-12 15:50:37.733607
# 
time [s],distance [cm],CH1x mean,CH1y mean,CH1z mean,CH2x mean,CH2y mean,CH2z mean,CH1x std,CH1y std,CH1z std,CH2x std,CH2y std,CH2z std
2023-05-12 15:50:50.570242,80.0,0.028800109658390284,0.20734583672881127,0.4211141899228096,0.012463465191423892,0.2023449422121048,-0.43510188353061674,0.0003222261732739919,0.0007269885804391522,0.0007121022929562151,0.0005934189152166274,0.00171051402028499,0.0013428566749232726
2023-05-12 15:51:08.071370,79.0,0.02953803922981024,0.2221113832592964,0.41743084305524825,0.013441696036607028,0.20563283482193948,-0.43783203995227815,0.0002777978046923381,0.0007521926823515254,0.0006601025790697782,0.0005208793029311084,0.0004835316799745114,0.0004752359669002053
2023-05-12 15:51:24.265974,78.0,0.034217906430363654,0.23644110935926438,0.4144046966433525,0.011294129338115454,0.20385549023747443,-0.4325508775115013,0.0002892696321732793,0.0007292687020088818,0.0007038429889097675,0.000664685631318817,0.0005863310915262978,0.0004653459809184625
2023-05-12 15:51:45.859557,77.0,0.03384641800820828,0.2512110728919506,0.4089559951424599,0.011403872843831778,0.2052392717897892,-0.4387088711261749,0.0003200575831682606,0.000732683113496046,0.0006652811905517478,0.0005047870353776272,0.0006261000664321848,0.0005411962465417569
2023-05-12 15:52:07.224304,76.0,0.035197398088872435,0.26471645772457125,0.40485890275239944,0.011089148635044694,0.20495292910933494,-0.43865840578079224,0.00027257489729269147,0.0007362361585144284,0.0006928845426680566,0.0005167536710119641,0.0005243961431582614,0.0005103769359318002
2023-05-12 15:52:30.132609,75.0,0.03699555224180222,0.2777526040673256,0.4007548822760582,0.010814789878204466,0.20434492281079292,-0.43815249401330947,0.0002826400770242775,0.0007571533506860334,0.0006783082994157768,0.0004979755073572577,0.0014297805448309194,0.0015070909947632754
2023-05-12 15:52:46.704383,74.0,0.032489131174981596,0.28860837107896803,0.3970677488446236,0.010399152206256985,0.2017369383573532,-0.435773698925972,0.0002825450527130126,0.0007443899693769856,0.0006629458854025542,0.0005468728039087375,0.0021494393699195598,0.0015915733162828176
2023-05-12 15:53:15.514288,73.0,0.03238569465279579,0.2975638239383698,0.3938750933408737,0.010165158918127418,0.20471136608719825,-0.4384641162753105,0.0002801309400080448,0.0007652325155699445,0.0006637419965169415,0.0005210378950847892,0.0005674559691701378,0.0005631781259239011
2023-05-12 15:54:10.340942,72.0,0.03408671879023314,0.30584693467617036,0.3923803122639656,0.009355958341620863,0.20535027599334718,-0.4390816826224327,0.00027364087324922506,0.000746861707097162,0.0006704736912648286,0.000530017074470231,0.0007091293936422846,0.0005919337035369587
2023-05-12 15:54:28.772152,71.0,0.0322589219212532,0.31588215827941896,0.3918328582048416,0.009192604505456984,0.20476939141750336,-0.43882935684919355,0.00028173623865918675,0.000791847593282383,0.0006913729366189228,0.0005176303459572334,0.0014027297726441146,0.0011689696541409206
2023-05-12 15:54:43.054586,70.0,0.031045436311513186,0.32757488679885866,0.3922245275974274,0.010828034779056906,0.20097251781821251,-0.4349649965763092,0.00029562085806859585,0.0007517493795761055,0.0006546026891075241,0.0005293473149286749,0.0015668280639961128,0.0011518791189609847
2023-05-12 15:55:00.144583,69.0,0.027615005146712064,0.3393546539545059,0.3915193933844566,0.010211200697347522,0.20363789775967597,-0.43838337147235873,0.00027813165380416357,0.0007536534465975482,0.0006979584253845756,0.0005298845598022632,0.0023475783769090664,0.0020027390088995863
2023-05-12 15:55:13.778248,68.0,0.043193536780774595,0.34769452720880506,0.3950917382836342,0.010001174382865428,0.20249315875768661,-0.43736397778987884,0.00028506722968961397,0.0007263514157557794,0.0006343106795356191,0.0004951177317027299,0.0020129699138105284,0.0020643509334993294
2023-05-12 15:55:32.058049,67.0,0.03165091721713543,0.35948312777280805,0.4013710825443268,0.009425967121496797,0.1997199304997921,-0.4352381376028061,0.00027965725280521377,0.0007448734610187375,0.0007237578500873623,0.0005127717193150931,0.000505250382209425,0.0004536281520228239
2023-05-12 15:55:57.124509,66.0,0.029849609795957802,0.3698614494204521,0.4024167963266373,0.010267333863303064,0.2046924448609352,-0.43915864193439486,0.00027633659333526766,0.0007420568469758434,0.000680742366299078,0.0005228066574389525,0.0005279839267409917,0.0006249311159682542
2023-05-12 15:56:15.979641,65.0,0.0367710195183754,0.38034511131048204,0.3861943127512932,0.008206174435093999,0.20519070783257484,-0.44019127982854844,0.0002739435900464763,0.0007213243438166702,0.00046723295749039365,0.0005498381057200314,0.0006508062452815585,0.0006936349938651772
