# labjack output single read of stream
# Settings:
#   DEVICE_TYPE:              T7
#   CONNECTION_TYPE:          USB
#   IP:                       ANY
#   STREAM_TRIGGER_INDEX:     0
#   STREAM_CLOCK_SOURCE:      0
#   STREAM_RESOLUTION_INDEX:  0
#   STREAM_SETTLING_US:       0
#   AIN_ALL_RANGE:            0
#   AIN_ALL_NEGATIVE_CH:      199
# Scan rate of last read:    100.0 Hz
#
# File written at 2023-07-06 11:27:59.401794
# 
# START stream 2023-07-06 11:27:54.337787
#
dt (s),CH1x,CH1y,CH1z,CH2x,CH2y,CH2z
0.0,0.07011348754167557,0.2605878412723541,0.49237367510795593,-0.33769553899765015,0.4983654022216797,-0.3370647430419922
0.01,0.06979813426733017,0.2631106674671173,0.4952118694782257,-0.3354876935482025,0.4996268153190613,-0.3354876935482025
0.02,0.06979813426733017,0.2637413740158081,0.4955272078514099,-0.33611851930618286,0.4989961087703705,-0.33611851930618286
0.03,0.07011348754167557,0.2637413740158081,0.4961579144001007,-0.3354876935482025,0.4993114769458771,-0.33611851930618286
0.04,0.07011348754167557,0.2637413740158081,0.4952118694782257,-0.3358031213283539,0.4993114769458771,-0.33611851930618286
0.05,0.06979813426733017,0.2643720805644989,0.4964732825756073,-0.3354876935482025,0.49994218349456787,-0.3358031213283539
0.06,0.07011348754167557,0.2640567421913147,0.4961579144001007,-0.33611851930618286,0.4993114769458771,-0.33611851930618286
0.07,0.07074420154094696,0.2634260356426239,0.4958425760269165,-0.33517229557037354,0.49994218349456787,-0.33611851930618286
0.08,0.06979813426733017,0.2637413740158081,0.4955272078514099,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.09,0.07011348754167557,0.2640567421913147,0.4958425760269165,-0.3345414698123932,0.49994218349456787,-0.33611851930618286
0.1,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33517229557037354,0.4996268153190613,-0.33611851930618286
0.11,0.07011348754167557,0.2640567421913147,0.4958425760269165,-0.33485689759254456,0.4996268153190613,-0.33611851930618286
0.12,0.07011348754167557,0.2640567421913147,0.4958425760269165,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.13,0.07011348754167557,0.2643720805644989,0.4964732825756073,-0.3354876935482025,0.49994218349456787,-0.3358031213283539
0.14,0.07074420154094696,0.2646874487400055,0.4958425760269165,-0.3345414698123932,0.49994218349456787,-0.3358031213283539
0.15,0.07042884826660156,0.2640567421913147,0.4958425760269165,-0.3354876935482025,0.4989961087703705,-0.3354876935482025
0.16,0.07011348754167557,0.2643720805644989,0.4961579144001007,-0.3342260718345642,0.49994218349456787,-0.3358031213283539
0.17,0.07011348754167557,0.2637413740158081,0.4964732825756073,-0.33517229557037354,0.4996268153190613,-0.33611851930618286
0.18,0.06979813426733017,0.2640567421913147,0.4958425760269165,-0.33517229557037354,0.49994218349456787,-0.3354876935482025
0.19,0.07042884826660156,0.2643720805644989,0.4964732825756073,-0.3354876935482025,0.4996268153190613,-0.33611851930618286
0.2,0.07011348754167557,0.2643720805644989,0.4964732825756073,-0.33485689759254456,0.49994218349456787,-0.33611851930618286
0.21,0.07042884826660156,0.2640567421913147,0.4955272078514099,-0.3354876935482025,0.49994218349456787,-0.33611851930618286
0.22,0.07011348754167557,0.2637413740158081,0.4964732825756073,-0.3345414698123932,0.4996268153190613,-0.33517229557037354
0.23,0.06979813426733017,0.2640567421913147,0.4958425760269165,-0.33517229557037354,0.49994218349456787,-0.3358031213283539
0.24,0.06979813426733017,0.2637413740158081,0.4961579144001007,-0.3345414698123932,0.4996268153190613,-0.3358031213283539
0.25,0.06948278099298477,0.2631106674671173,0.4958425760269165,-0.33611851930618286,0.4989961087703705,-0.33611851930618286
0.26,0.06948278099298477,0.2640567421913147,0.4955272078514099,-0.33485689759254456,0.4996268153190613,-0.3358031213283539
0.27,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33611851930618286,0.4993114769458771,-0.33611851930618286
0.28,0.07011348754167557,0.2640567421913147,0.4958425760269165,-0.33517229557037354,0.4996268153190613,-0.3354876935482025
0.29,0.07011348754167557,0.2637413740158081,0.4952118694782257,-0.3358031213283539,0.4996268153190613,-0.33611851930618286
0.3,0.06979813426733017,0.2637413740158081,0.4955272078514099,-0.3354876935482025,0.4996268153190613,-0.3358031213283539
0.31,0.07011348754167557,0.2634260356426239,0.4958425760269165,-0.3358031213283539,0.4993114769458771,-0.33611851930618286
0.32,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33517229557037354,0.4993114769458771,-0.33611851930618286
0.33,0.06979813426733017,0.2640567421913147,0.4961579144001007,-0.33517229557037354,0.4993114769458771,-0.33611851930618286
0.34,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.3354876935482025,0.4996268153190613,-0.3358031213283539
0.35000000000000003,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33485689759254456,0.4996268153190613,-0.33611851930618286
0.36,0.07011348754167557,0.2643720805644989,0.4964732825756073,-0.3354876935482025,0.4993114769458771,-0.3354876935482025
0.37,0.07011348754167557,0.2643720805644989,0.4958425760269165,-0.33517229557037354,0.49994218349456787,-0.33611851930618286
0.38,0.07011348754167557,0.2637413740158081,0.4961579144001007,-0.3354876935482025,0.4993114769458771,-0.3358031213283539
0.39,0.07011348754167557,0.2643720805644989,0.4961579144001007,-0.3342260718345642,0.49994218349456787,-0.33611851930618286
0.4,0.07011348754167557,0.2634260356426239,0.4961579144001007,-0.33517229557037354,0.4996268153190613,-0.3358031213283539
0.41000000000000003,0.06979813426733017,0.2640567421913147,0.4958425760269165,-0.3345414698123932,0.49994218349456787,-0.3354876935482025
0.42,0.07011348754167557,0.2634260356426239,0.4955272078514099,-0.33517229557037354,0.4996268153190613,-0.33611851930618286
0.43,0.07011348754167557,0.2640567421913147,0.4958425760269165,-0.3345414698123932,0.49994218349456787,-0.3354876935482025
0.44,0.07011348754167557,0.2634260356426239,0.4955272078514099,-0.3358031213283539,0.4996268153190613,-0.33611851930618286
0.45,0.07011348754167557,0.2637413740158081,0.4958425760269165,-0.33517229557037354,0.5002575516700745,-0.33517229557037354
0.46,0.07011348754167557,0.2637413740158081,0.4952118694782257,-0.33611851930618286,0.4993114769458771,-0.33611851930618286
0.47000000000000003,0.06948278099298477,0.2634260356426239,0.4958425760269165,-0.3345414698123932,0.49994218349456787,-0.3354876935482025
0.48,0.06948278099298477,0.2634260356426239,0.4955272078514099,-0.3354876935482025,0.4993114769458771,-0.3367493152618408
0.49,0.06979813426733017,0.2640567421913147,0.4958425760269165,-0.33485689759254456,0.4993114769458771,-0.3354876935482025
0.5,0.07011348754167557,0.2637413740158081,0.4955272078514099,-0.33643391728401184,0.4989961087703705,-0.33611851930618286
0.51,0.06979813426733017,0.2637413740158081,0.4952118694782257,-0.33517229557037354,0.4996268153190613,-0.3354876935482025
0.52,0.06979813426733017,0.2637413740158081,0.4952118694782257,-0.33611851930618286,0.4989961087703705,-0.33611851930618286
0.53,0.06979813426733017,0.2631106674671173,0.4958425760269165,-0.3345414698123932,0.4996268153190613,-0.33643391728401184
0.54,0.06979813426733017,0.2634260356426239,0.4958425760269165,-0.3358031213283539,0.4996268153190613,-0.3367493152618408
0.55,0.06979813426733017,0.2640567421913147,0.4958425760269165,-0.33485689759254456,0.4993114769458771,-0.3354876935482025
0.56,0.06979813426733017,0.2640567421913147,0.4955272078514099,-0.33611851930618286,0.4993114769458771,-0.33643391728401184
0.5700000000000001,0.07011348754167557,0.2643720805644989,0.4958425760269165,-0.33517229557037354,0.4993114769458771,-0.3354876935482025
0.58,0.07042884826660156,0.2637413740158081,0.4958425760269165,-0.33517229557037354,0.49994218349456787,-0.33611851930618286
0.59,0.07011348754167557,0.2634260356426239,0.4961579144001007,-0.3354876935482025,0.4993114769458771,-0.3358031213283539
0.6,0.06979813426733017,0.2631106674671173,0.4952118694782257,-0.33611851930618286,0.4993114769458771,-0.3367493152618408
0.61,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33517229557037354,0.4996268153190613,-0.3358031213283539
0.62,0.06948278099298477,0.2634260356426239,0.4958425760269165,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.63,0.07011348754167557,0.2637413740158081,0.4961579144001007,-0.33517229557037354,0.4996268153190613,-0.3354876935482025
0.64,0.06979813426733017,0.2637413740158081,0.4955272078514099,-0.33611851930618286,0.4986807703971863,-0.33611851930618286
0.65,0.07011348754167557,0.2637413740158081,0.4952118694782257,-0.33517229557037354,0.4996268153190613,-0.3354876935482025
0.66,0.07042884826660156,0.2637413740158081,0.4952118694782257,-0.3358031213283539,0.4996268153190613,-0.33611851930618286
0.67,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33517229557037354,0.4993114769458771,-0.3354876935482025
0.68,0.06979813426733017,0.2631106674671173,0.4955272078514099,-0.3358031213283539,0.4989961087703705,-0.33611851930618286
0.6900000000000001,0.06948278099298477,0.2634260356426239,0.4958425760269165,-0.33517229557037354,0.4993114769458771,-0.3354876935482025
0.7000000000000001,0.06948278099298477,0.2637413740158081,0.4958425760269165,-0.33611851930618286,0.4989961087703705,-0.33611851930618286
0.71,0.07011348754167557,0.2634260356426239,0.4955272078514099,-0.33517229557037354,0.4996268153190613,-0.3354876935482025
0.72,0.06948278099298477,0.2634260356426239,0.4961579144001007,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.73,0.07011348754167557,0.2637413740158081,0.4958425760269165,-0.33485689759254456,0.4989961087703705,-0.3358031213283539
0.74,0.07011348754167557,0.2631106674671173,0.4958425760269165,-0.33611851930618286,0.4989961087703705,-0.3367493152618408
0.75,0.06979813426733017,0.2640567421913147,0.4955272078514099,-0.3354876935482025,0.4996268153190613,-0.33611851930618286
0.76,0.06948278099298477,0.2634260356426239,0.4955272078514099,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.77,0.06948278099298477,0.2637413740158081,0.4961579144001007,-0.33485689759254456,0.4993114769458771,-0.33611851930618286
0.78,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.3358031213283539,0.4989961087703705,-0.3367493152618408
0.79,0.07042884826660156,0.2634260356426239,0.4952118694782257,-0.33485689759254456,0.4993114769458771,-0.3354876935482025
0.8,0.06979813426733017,0.2631106674671173,0.4955272078514099,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.81,0.07042884826660156,0.2637413740158081,0.4955272078514099,-0.3354876935482025,0.4993114769458771,-0.3354876935482025
0.8200000000000001,0.06979813426733017,0.2631106674671173,0.4955272078514099,-0.3358031213283539,0.4993114769458771,-0.33643391728401184
0.8300000000000001,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.84,0.06979813426733017,0.2631106674671173,0.4948965013027191,-0.3358031213283539,0.4989961087703705,-0.3367493152618408
0.85,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.3354876935482025,0.4996268153190613,-0.3358031213283539
0.86,0.07011348754167557,0.2631106674671173,0.4955272078514099,-0.33611851930618286,0.4989961087703705,-0.33643391728401184
0.87,0.07011348754167557,0.2634260356426239,0.4961579144001007,-0.3354876935482025,0.4989961087703705,-0.33611851930618286
0.88,0.06979813426733017,0.2634260356426239,0.4958425760269165,-0.33611851930618286,0.4989961087703705,-0.33611851930618286
0.89,0.06979813426733017,0.2631106674671173,0.4961579144001007,-0.33517229557037354,0.4993114769458771,-0.3358031213283539
0.9,0.06979813426733017,0.2631106674671173,0.4958425760269165,-0.3358031213283539,0.4989961087703705,-0.3367493152618408
0.91,0.07011348754167557,0.2631106674671173,0.4958425760269165,-0.33485689759254456,0.4989961087703705,-0.3354876935482025
0.92,0.06979813426733017,0.2637413740158081,0.4958425760269165,-0.33643391728401184,0.4989961087703705,-0.33643391728401184
0.93,0.06948278099298477,0.2631106674671173,0.4958425760269165,-0.33517229557037354,0.49994218349456787,-0.33517229557037354
0.9400000000000001,0.06948278099298477,0.2634260356426239,0.4955272078514099,-0.3358031213283539,0.4989961087703705,-0.33643391728401184
0.9500000000000001,0.06979813426733017,0.2631106674671173,0.4955272078514099,-0.3354876935482025,0.4996268153190613,-0.3354876935482025
0.96,0.07011348754167557,0.2631106674671173,0.4952118694782257,-0.3358031213283539,0.4989961087703705,-0.33643391728401184
