# labjack output summary file
# Data taken with Mag690-FL1000 #410,
# B0 in various states of on, miniMSR in unknown degaussed state
# Testing for coil const of miniB0
# Settings:
#   DEVICE_TYPE:              T7
#   CONNECTION_TYPE:          USB
#   IP:                       ANY
#   NumDataPoints:            500
#   l_out:                    92.7
#   l_scm:                    22.35
#   FG number:                [410, 409]
#   FG type:                	[1000, 1000]
#   B0coil Current:           -1
#   SCMcoil Current:          -1
#   SCMcoil Voltage:          None
#   Saddlecoil Current:       None
#   Solenoidcoil Current:     None
#   STREAM_TRIGGER_INDEX:     0
#   STREAM_CLOCK_SOURCE:      0
#   STREAM_RESOLUTION_INDEX:  0
#   STREAM_SETTLING_US:       0
#   AIN_ALL_RANGE:            0
#   AIN_ALL_NEGATIVE_CH:      199
# Scan rate of last read:    100 Hz
#
# File started at 2023-06-22 16:48:55.060921
# 
time [s],distance [cm],CH1x mean,CH1y mean,CH1z mean,CH2x mean,CH2y mean,CH2z mean,CH1x std,CH1y std,CH1z std,CH2x std,CH2y std,CH2z std
2023-06-22 16:48:58.724541,0.0,0.0061797039732337,-0.003366638209670782,0.004251624336000532,0.02696159027144313,0.13794821858406067,-0.5909076011180878,0.0002869487057085403,0.0007212001361960043,0.00038031439078460837,0.0005188055983340647,0.0004625147053294751,0.00046279679601333784
2023-06-22 16:50:26.840366,1.0,0.00618411894608289,-0.004825077414512634,0.004215043183066882,0.022506887413561345,0.14039978873729705,-0.5897122151851654,0.0002901280421068145,0.0007280188852567149,0.000397900858727368,0.00048045791705636444,0.0004151530125089045,0.00039552978832727774
2023-06-22 16:51:41.216603,2.0,0.006198625272139907,-0.0053783003487624225,0.0042093667911831285,0.021980244971811773,0.13991540038585662,-0.5895027903318405,0.0002856818464522734,0.0007396629315769186,0.0003952499461501609,0.0004695517607831699,0.0004213578935915394,0.0004585876156093776
2023-06-22 16:52:12.193928,3.0,0.00620556307118386,-0.006233682597987354,0.004219458151026629,0.022625460762530566,0.1405606195628643,-0.5897431247234345,0.00028485398059860823,0.0007335897464169649,0.00035626005202592763,0.0004760875607405744,0.0004127809485674654,0.00039805244859822663
2023-06-22 16:52:35.507892,4.0,0.006168351193889975,-0.007977249062620104,0.0042068439542781565,0.02264816630631685,0.1405290842950344,-0.5898289142847061,0.00028931977658433505,0.0007552709540065206,0.00034923164519384337,0.00046798120479049334,0.00040003070146022617,0.00039714200382617886
2023-06-22 16:53:09.971278,5.0,0.0061557370005175475,-0.010543395997956395,0.004190445507643744,0.022592033211141824,0.14039726582169532,-0.58980999147892,0.0002914883932483748,0.000729475801486484,0.0003443653073787534,0.0004666305319303049,0.0004149147754013152,0.00041571277293205413
2023-06-22 16:54:07.215228,6.0,0.006165197656489908,-0.01201382058672607,0.004150080078048631,0.0227270049713552,0.14103112760186196,-0.5898680245876312,0.00029988322299846055,0.000734209744115117,0.00036899943785201914,0.0004777278020354815,0.0004437457669908395,0.00041905377911780533
2023-06-22 16:54:44.752916,7.0,0.006174658292904496,-0.013482983423396945,0.004155756471911445,0.02268411673605442,0.1410986132323742,-0.5898648709058761,0.0003045030095773991,0.0007269569089612536,0.00034842435497764234,0.0004787379536026729,0.00041863787379391187,0.00042755713348692704
2023-06-22 16:55:30.582876,8.0,0.0061582598350942135,-0.014376845503225922,0.00416584782791324,0.022728266377002,0.1410904140472412,-0.5898610854148865,0.00029301047088065577,0.0007414170195032412,0.0003525231687223904,0.0004600998220456452,0.00041412871291959184,0.0004084809583839248
2023-06-22 16:55:30.582876,8.0,0.0061582598350942135,-0.014376845503225922,0.00416584782791324,0.022728266377002,0.1410904140472412,-0.5898610854148865,0.00029301047088065577,0.0007414170195032412,0.0003525231687223904,0.0004600998220456452,0.00041412871291959184,0.0004084809583839248
