# labjack output summary file
# Data taken with Mag690-FL1000 #410, second test of saddle coil , 
# miniMSR degaussed, miniB0 & SCM coils off 
# Coords usually centered around the SCM are now relative to the center of the saddle coil 
# Saddle coil high field axis is vertical (+z), saddle coil: I=0.059 A, V=0.126 V
# Settings:
#   DEVICE_TYPE:              T7
#   CONNECTION_TYPE:          ETHERNET
#   IP:                       142.90.100.26
#   l_out:                    93.1
#   l_scm:                    20.4
#   FG number:                410
#   B0coil Current:                None
#   SCMcoil Current:                None
#   Saddlecoil Current:                0.059
#   STREAM_TRIGGER_INDEX:     0
#   STREAM_CLOCK_SOURCE:      0
#   STREAM_RESOLUTION_INDEX:  0
#   STREAM_SETTLING_US:       0
#   AIN_ALL_RANGE:            0
#   AIN_ALL_NEGATIVE_CH:      199
# Scan rate of last read:    100 Hz
#
# File started at 2023-04-26 16:48:03.774260
# 
time [s],distance [cm],CH1x mean,CH1y mean,CH1z mean,CH1x std,CH1y std,CH1z std
2023-04-26 16:48:12.699770,83.0,0.02104427106678486,0.17241461127996444,0.40675481855869294,0.00047478144603561965,0.0010427417619092326,0.00159593518493739
2023-04-26 16:48:34.027007,82.0,0.021485768258571625,0.19042137861251832,0.40454732775688174,0.0002897913721666529,0.0007760269228784193,0.0008700093543059312
2023-04-26 16:49:01.282679,81.0,0.024040143005549908,0.20663061290979384,0.401393786072731,0.0004057623894394174,0.0007499546135077864,0.0010109982295160918
2023-04-26 16:49:21.031933,80.0,0.021201948635280132,0.22041162401437758,0.39808255434036255,0.00027612339245377935,0.0006844807592577852,0.0006129417019383878
2023-04-26 16:49:49.869627,79.0,0.020161278545856476,0.23037683367729186,0.39562278985977173,0.00016284869249404637,0.0006271928358431677,0.0009838553131716167
2023-04-26 16:50:21.570229,78.0,0.017922258004546165,0.2310706213116646,0.39221695959568026,0.00016620576908723368,0.0010213268261589925,0.0011534269203251329
2023-04-26 16:51:00.717256,77.0,0.018206076696515083,0.2287685289978981,0.3884011715650558,0.000265930801259879,0.0009454812879464662,0.0015595145145317045
2023-04-26 16:51:26.636456,76.0,0.017733045853674412,0.234003421664238,0.3835131675004959,9.972405047245462e-05,0.0006980695407138468,0.0010060625703615259
2023-04-26 16:52:03.648136,75.0,0.019562103785574436,0.2449462294578552,0.3799181193113327,0.00021284849487838365,0.0008169482734528257,0.0010740561057371407
2023-04-26 16:52:24.524751,74.0,0.018048399686813356,0.2584118783473969,0.37556621730327605,0.00031359750014605493,0.0006209974303182567,0.0007004298032003393
2023-04-26 16:53:07.136829,73.0,0.02091812901198864,0.270931476354599,0.370425945520401,0.00025748639113077644,0.0008383177251057311,0.0011615476519472086
2023-04-26 16:53:26.961602,72.0,0.017985329031944275,0.2843340516090393,0.36582176089286805,0.00036565404852352236,0.000841605060523124,0.0009048691366995896
2023-04-26 16:53:49.197788,71.0,0.015998592786490917,0.2969167172908783,0.36071300506591797,0.000338996316684346,0.0006271945008404878,0.0010218636990398833
2023-04-26 16:54:12.122371,70.0,0.014863315969705582,0.30949937999248506,0.3554465800523758,0.0002897913721666529,0.0006722618969184814,0.0010060700436735539
2023-04-26 16:54:50.976677,69.0,0.019435961730778217,0.3239426285028458,0.3502116918563843,0.0003340714345608503,0.0007788698921261593,0.001168657502006456
2023-04-26 16:55:16.891917,68.0,0.019908994436264038,0.3449767976999283,0.3459228575229645,0.00024875548672618483,0.0008169475065361917,0.0010427356530510888
2023-04-26 16:55:39.984883,67.0,0.020697380416095257,0.37203424870967866,0.3407195061445236,0.00015233100329920668,0.0007313079542893852,0.0009911302540626175
2023-04-26 16:56:04.761009,66.0,0.023346361704170704,0.39726263880729673,0.33520080149173737,0.00039471916320498715,0.0008169554315865403,0.0009994570112006685
2023-04-26 16:56:38.977924,65.0,0.02281025853008032,0.41255735158920287,0.3298712998628616,0.00033241271621498616,0.0007350819610618209,0.0009170050665749446
2023-04-26 16:57:27.599662,64.0,0.03031570464372635,0.42378398180007937,0.3238795638084412,0.0002897913721666529,0.0011049921149581757,0.0013870045695476868
2023-04-26 16:57:54.871393,63.0,0.03832571879029274,0.4332761585712433,0.31908616721630095,0.00032569714452296956,0.0008435721050049933,0.0010109930650179589
2023-04-26 16:58:31.071645,62.0,0.03113562799990177,0.44160153567790983,0.3130313515663147,0.00022049817199439742,0.0010616461698396745,0.001244226171395377
2023-04-26 16:58:31.071645,62.0,0.03113562799990177,0.44160153567790983,0.3130313515663147,0.00022049817199439742,0.0010616461698396745,0.001244226171395377
