# labjack output multiple reads of stream
# Settings:
#   DEVICE_TYPE:              T7
#   CONNECTION_TYPE:          ETHERNET
#   IP:                       142.90.100.26
#   STREAM_TRIGGER_INDEX:     0
#   STREAM_CLOCK_SOURCE:      0
#   STREAM_RESOLUTION_INDEX:  0
#   STREAM_SETTLING_US:       0
#   AIN_ALL_RANGE:            0
#   AIN_ALL_NEGATIVE_CH:      199
# Scan rate of last read:    100.0 Hz
#
# File written at 2023-04-28 17:17:21.392286
# 
START stream 2023-04-28 17:12:26.442338
dt (s),CH1x,CH1y,CH1z,CH2x,CH2y,CH2z
0.0,0.050561487674713135,0.4236263036727905,0.2896004915237427,-0.10461020469665527,-0.008726654574275017,-0.46511974930763245
0.01,0.04993077740073204,0.4242570102214813,0.2899158298969269,-0.10461020469665527,-0.009357467293739319,-0.4660659730434418
0.02,0.04961542412638664,0.4245723783969879,0.29149261116981506,-0.10082533210515976,-0.005257184151560068,-0.4629119038581848
0.03,0.04993077740073204,0.4258337914943695,0.29338473081588745,-0.10019451379776001,-0.004626371432095766,-0.4619656801223755
0.04,0.04961542412638664,0.4261491298675537,0.29306939244270325,-0.10082533210515976,-0.004941777791827917,-0.46259647607803345
0.05,0.04993077740073204,0.4255184233188629,0.29275402426719666,-0.10082533210515976,-0.004626371432095766,-0.46259647607803345
0.06,0.04993077740073204,0.4261491298675537,0.29306939244270325,-0.10145614296197891,-0.005572590511292219,-0.4632273018360138
0.07,0.05024613440036774,0.4264644980430603,0.29338473081588745,-0.10114073753356934,-0.004941777791827917,-0.4629119038581848
0.08,0.04993077740073204,0.4261491298675537,0.29275402426719666,-0.10082533210515976,-0.0036801521200686693,-0.46228107810020447
0.09,0.04993077740073204,0.4264644980430603,0.29338473081588745,-0.10145614296197891,-0.004626371432095766,-0.4619656801223755
0.1,0.04993077740073204,0.4255184233188629,0.29306939244270325,-0.10114073753356934,-0.005257184151560068,-0.4616502821445465
0.11,0.05024613440036774,0.4255184233188629,0.29243868589401245,-0.10145614296197891,-0.0062034036964178085,-0.4616502821445465
0.12,0.04961542412638664,0.4261491298675537,0.29338473081588745,-0.10019451379776001,-0.007465029135346413,-0.46133485436439514
0.13,0.05024613440036774,0.4255184233188629,0.29338473081588745,-0.09987910836935043,-0.007149622775614262,-0.46007323265075684
0.14,0.04993077740073204,0.4255184233188629,0.29275402426719666,-0.09956370294094086,-0.008726654574275017,-0.4591270089149475
0.15,0.04961542412638664,0.4258337914943695,0.29338473081588745,-0.09924829751253128,-0.009357467293739319,-0.45881161093711853
0.16,0.04993077740073204,0.4258337914943695,0.29275402426719666,-0.09956370294094086,-0.010303687304258347,-0.45881161093711853
0.17,0.04993077740073204,0.4258337914943695,0.29306939244270325,-0.0989328920841217,-0.010619093663990498,-0.45849621295928955
0.18,0.05024613440036774,0.4258337914943695,0.29275402426719666,-0.09861748665571213,-0.009988280944526196,-0.4575499892234802
0.19,0.050561487674713135,0.4255184233188629,0.29243868589401245,-0.09924829751253128,-0.010619093663990498,-0.4578653872013092
0.2,0.04961542412638664,0.4248877167701721,0.29338473081588745,-0.0989328920841217,-0.010619093663990498,-0.4578653872013092
0.21,0.04993077740073204,0.4258337914943695,0.29275402426719666,-0.09987910836935043,-0.010619093663990498,-0.45849621295928955
0.22,0.04993077740073204,0.4255184233188629,0.29275402426719666,-0.0989328920841217,-0.009672874584794044,-0.45881161093711853
0.23,0.04993077740073204,0.4252030849456787,0.29275402426719666,-0.09956370294094086,-0.008726654574275017,-0.45849621295928955
0.24,0.04993077740073204,0.4258337914943695,0.29275402426719666,-0.09956370294094086,-0.008726654574275017,-0.45975783467292786
0.25,0.04993077740073204,0.4252030849456787,0.29212331771850586,-0.10082533210515976,-0.008726654574275017,-0.45975783467292786
0.26,0.04961542412638664,0.4258337914943695,0.29275402426719666,-0.10050991922616959,-0.008411248214542866,-0.4607040584087372
0.27,0.04993077740073204,0.4252030849456787,0.29275402426719666,-0.10050991922616959,-0.008095841854810715,-0.45975783467292786
0.28,0.050561487674713135,0.4248877167701721,0.29212331771850586,-0.10082533210515976,-0.007780435495078564,-0.4594424366950989
0.29,0.04993077740073204,0.4252030849456787,0.29212331771850586,-0.10019451379776001,-0.008726654574275017,-0.4594424366950989
0.3,0.04993077740073204,0.4255184233188629,0.29212331771850586,-0.10114073753356934,-0.009042060934007168,-0.4594424366950989
0.31,0.04961542412638664,0.4252030849456787,0.29275402426719666,-0.09956370294094086,-0.009672874584794044,-0.4591270089149475
0.32,0.04993077740073204,0.4255184233188629,0.29212331771850586,-0.09924829751253128,-0.009357467293739319,-0.45818081498146057
0.33,0.05024613440036774,0.4258337914943695,0.29212331771850586,-0.09956370294094086,-0.010303687304258347,-0.45849621295928955
0.34,0.04993077740073204,0.4245723783969879,0.29212331771850586,-0.09924829751253128,-0.010303687304258347,-0.45818081498146057
0.35000000000000003,0.04993077740073204,0.4248877167701721,0.29149261116981506,-0.09956370294094086,-0.010934500023722649,-0.45881161093711853
0.36,0.04993077740073204,0.4252030849456787,0.29149261116981506,-0.09861748665571213,-0.009988280944526196,-0.45849621295928955
0.37,0.04993077740073204,0.4248877167701721,0.29212331771850586,-0.09956370294094086,-0.010303687304258347,-0.45849621295928955
0.38,0.05024613440036774,0.4252030849456787,0.29180797934532166,-0.09956370294094086,-0.009988280944526196,-0.4594424366950989
0.39,0.050561487674713135,0.4252030849456787,0.29212331771850586,-0.10050991922616959,-0.009672874584794044,-0.4594424366950989
0.4,0.04993077740073204,0.4255184233188629,0.29212331771850586,-0.10019451379776001,-0.008726654574275017,-0.4603886306285858
0.41000000000000003,0.05024613440036774,0.4252030849456787,0.29212331771850586,-0.10050991922616959,-0.008095841854810715,-0.45975783467292786
0.42,0.050561487674713135,0.4252030849456787,0.29149261116981506,-0.10114073753356934,-0.007780435495078564,-0.4607040584087372
0.43,0.04993077740073204,0.4248877167701721,0.29180797934532166,-0.10177154839038849,-0.007780435495078564,-0.4616502821445465
0.44,0.04993077740073204,0.4258337914943695,0.29149261116981506,-0.10271776467561722,-0.007780435495078564,-0.46228107810020447
0.45,0.04961542412638664,0.4248877167701721,0.29180797934532166,-0.10177154839038849,-0.006834216415882111,-0.4619656801223755
0.46,0.05024613440036774,0.4255184233188629,0.29149261116981506,-0.10208695381879807,-0.007149622775614262,-0.46101945638656616
0.47000000000000003,0.04993077740073204,0.4248877167701721,0.29149261116981506,-0.10145614296197891,-0.007465029135346413,-0.46133485436439514
0.48,0.04961542412638664,0.4248877167701721,0.29117724299430847,-0.10145614296197891,-0.008095841854810715,-0.46101945638656616
0.49,0.04993077740073204,0.4252030849456787,0.29149261116981506,-0.10177154839038849,-0.009357467293739319,-0.4603886306285858
0.5,0.04993077740073204,0.4255184233188629,0.29180797934532166,-0.10082533210515976,-0.009357467293739319,-0.46101945638656616
0.51,0.05024613440036774,0.4255184233188629,0.29117724299430847,-0.10019451379776001,-0.009357467293739319,-0.4594424366950989
0.52,0.04993077740073204,0.4252030849456787,0.29149261116981506,-0.10050991922616959,-0.010303687304258347,-0.45975783467292786
0.53,0.04993077740073204,0.4245723783969879,0.2905465364456177,-0.10050991922616959,-0.009988280944526196,-0.46007323265075684
0.54,0.049300067126750946,0.4248877167701721,0.2905465364456177,-0.10114073753356934,-0.010303687304258347,-0.4603886306285858
0.55,0.04993077740073204,0.4252030849456787,0.29180797934532166,-0.10114073753356934,-0.009672874584794044,-0.46228107810020447
0.56,0.04961542412638664,0.4252030849456787,0.29117724299430847,-0.10114073753356934,-0.008095841854810715,-0.4616502821445465
0.5700000000000001,0.05024613440036774,0.4252030849456787,0.29117724299430847,-0.10208695381879807,-0.007149622775614262,-0.46259647607803345
0.58,0.04993077740073204,0.4252030849456787,0.29149261116981506,-0.10271776467561722,-0.0062034036964178085,-0.4629119038581848
0.59,0.04961542412638664,0.4245723783969879,0.29117724299430847,-0.10334858298301697,-0.0065188100561499596,-0.46385812759399414
0.6,0.04993077740073204,0.4255184233188629,0.29086190462112427,-0.10366398841142654,-0.006834216415882111,-0.4648043215274811
0.61,0.04993077740073204,0.4252030849456787,0.29180797934532166,-0.10271776467561722,-0.0058879973366856575,-0.4641735255718231
0.62,0.04961542412638664,0.4255184233188629,0.29117724299430847,-0.10334858298301697,-0.005572590511292219,-0.4635426998138428
0.63,0.04993077740073204,0.4252030849456787,0.29117724299430847,-0.10334858298301697,-0.007149622775614262,-0.4641735255718231
0.64,0.04961542412638664,0.4245723783969879,0.2905465364456177,-0.10303317755460739,-0.007465029135346413,-0.4632273018360138
0.65,0.04993077740073204,0.4248877167701721,0.29023119807243347,-0.10334858298301697,-0.008411248214542866,-0.4632273018360138
0.66,0.05024613440036774,0.4252030849456787,0.29180797934532166,-0.10208695381879807,-0.009357467293739319,-0.4632273018360138
0.67,0.04993077740073204,0.4252030849456787,0.29117724299430847,-0.10145614296197891,-0.008726654574275017,-0.46259647607803345
0.68,0.05024613440036774,0.4252030849456787,0.29149261116981506,-0.10145614296197891,-0.009672874584794044,-0.4616502821445465
0.6900000000000001,0.04993077740073204,0.4255184233188629,0.29117724299430847,-0.10082533210515976,-0.009357467293739319,-0.46228107810020447
0.7000000000000001,0.04961542412638664,0.4245723783969879,0.2905465364456177,-0.10177154839038849,-0.009672874584794044,-0.46228107810020447
0.71,0.04993077740073204,0.4252030849456787,0.29117724299430847,-0.10208695381879807,-0.009672874584794044,-0.46259647607803345
