# labjack output summary file
# Data taken with Mag690-FL1000 #410, test of pushstick with full set up, 
# miniMSR degaussed, miniB0: V=0.100 V, I=0.079A.
# Settings:
#   DEVICE_TYPE:              T7
#   CONNECTION_TYPE:          ETHERNET
#   IP:                       142.90.100.26
#   l_out:                    90.7
#   l_scm:                    41.9
#   FG number:                410
#   STREAM_TRIGGER_INDEX:     0
#   STREAM_CLOCK_SOURCE:      0
#   STREAM_RESOLUTION_INDEX:  0
#   STREAM_SETTLING_US:       0
#   AIN_ALL_RANGE:            0
#   AIN_ALL_NEGATIVE_CH:      199
# Scan rate of last read:    100 Hz
#
# File started at 2023-04-19 16:58:35.603319
# 
time [s],distance [cm],CH1x mean,CH1y mean,CH1z mean,CH1x std,CH1y std,CH1z std
2023-04-19 16:58:52.453867,117.0,0.008234556382521987,-0.013558681048452854,0.0061469071265310045,0.0005187289162753947,0.0007277679685362595,0.0011684729815991531
2023-04-19 16:59:13.563698,115.0,0.007660610610619187,-0.013154960814863443,0.006601018151268363,0.00025452653358137557,0.0004680836086626919,0.0005804376163370247
2023-04-19 16:59:22.365715,110.0,0.007862437730655075,-0.013243274595588446,0.006701931715942919,0.0002626884360502018,0.0005309972994839345,0.0005324374867867073
2023-04-19 17:00:02.596019,105.0,0.0076795319002121686,-0.013243274614214897,0.006582096861675382,0.00030214209909122197,0.000530997352319717,0.0006926974983479003
2023-04-19 17:00:15.247097,100.0,0.00785613059066236,-0.012082579173147678,0.007288491828367114,0.0002925868425953461,0.00047154063454004583,0.0005028352343612946
2023-04-19 17:00:42.605837,98.0,0.008524682763963938,-0.009389008283615113,0.008858958976343274,0.0002936944504646722,0.0005416348568614531,0.0006995490755194365
2023-04-19 17:01:26.823637,95.0,0.00901032930240035,-0.00239329400472343,0.02420412767678499,0.0002958292752504521,0.000554928023750229,0.000677530296908739
2023-04-19 17:01:39.815261,90.0,0.014503811206668615,0.01292072979733348,0.2515119197964668,0.00028923814940344793,0.0005934392883538155,0.0005416937769768362
2023-04-19 17:02:08.113494,93.0,0.01007622878998518,-0.00021070359987788835,0.061409695371985436,0.00022874046727259343,0.0005699110314091151,0.0006950080921139536
2023-04-19 17:02:33.556097,88.0,0.013715424127876758,0.0387609089165926,0.34073842704296115,0.0003208420674184328,0.0006013552641791455,0.0006753430263009703
2023-04-19 17:02:47.356105,85.0,0.0192530557513237,0.08213481679558754,0.3666164493560791,0.00030581452230586773,0.0004709478449560064,0.0005028348643028683
2023-04-19 17:03:05.013549,80.0,0.03770762279629707,0.15310227930545806,0.3630718600749969,0.00030261220043145714,0.0005190022510343622,0.0006160257913037326
2023-04-19 17:03:30.583739,75.0,0.029016443006694318,0.22171088248491289,0.35057119429111483,0.0003084572387684415,0.0005255309826693121,0.0004918999510339842
2023-04-19 17:03:42.855739,70.0,0.02557276710867882,0.27881534457206725,0.3351251095533371,0.00031574105000908614,0.0005056884259407731,0.0005166542997250809
2023-04-19 17:04:07.985709,64.0,0.018912472203373908,0.33203463435173036,0.3139206475019455,0.0002684963266340569,0.0006376229911096578,0.0006968757388225612
2023-04-19 17:04:35.483515,50.0,0.08103738397359848,0.3976095288991928,0.24720417320728302,0.0002971975977258072,0.0005847893300690322,0.0006686949555615772
2023-04-19 17:04:45.756725,55.0,0.07128660947084427,0.3799748831987381,0.27340385258197786,0.0003058134310062607,0.00045538883479449014,0.0006136174713241874
2023-04-19 17:04:56.883649,45.0,0.0514634021371603,0.41846710205078125,0.21769326508045198,0.0002703795384513329,0.00045391588796708625,0.000557208806537691
2023-04-19 17:05:12.893248,40.0,0.09087014958262443,0.4291197830438614,0.18754534304141998,0.00032914881753141125,0.0005060593411124113,0.0005586639119544279
2023-04-19 17:06:04.045975,47.0,0.07064328789710998,0.4097128474712372,0.22900819957256316,0.0002335696995187503,0.0005721245315445896,0.0008109368272550539
2023-04-19 17:06:04.045975,47.0,0.07064328789710998,0.4097128474712372,0.22900819957256316,0.0002335696995187503,0.0005721245315445896,0.0008109368272550539
